"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"palmitoleic acid"	1.19244861916346	0.368917848468468	0.0287540577355029	0.0152771111905426
"pelargonic acid"	0.581666323269291	0.616530140720643	0.00680716078176739	0.00391161983353798
"phenylalanine"	0.535279635328074	0.625881772774989	0.0235314451867926	0.0173696364830264
"phenylalanine TMS1x"	0.537361467260435	0.719249176575762	0.00601249713000224	0.0030331342685652
"phenylpyruvic acid"	-0.110040041291689	0.939626764393399	0.0786687159941295	0.0754680845790009
"phosphoethanolamine"	0.762677676098965	0.326820745779441	0.00577529899293872	0.00391238487476641
"phosphoric acid"	0.688589475140754	0.218766561334181	0.0166613353448738	0.0101369418270666
"proline"	-0.27500284262392	0.807992051812519	0.0215615278884641	0.0181592886439549
"pseudo uridine"	0.458131251750596	0.445725775203137	0.0100516972614169	0.00580115789771948
"putrescine"	0.788203682558057	0.506864029779555	0.0319155276209883	0.0285596304818735
"putrescine 3TMS"	0.49460608895868	0.470959532667592	0.00207098207933683	0.0197741139490377
"putrescine CO2 adduct"	0.63811917475364	0.642141951149227	0.0154982362386276	0.0173800580347745
"pyrazine 2,5-dihydroxy  NIST"	0.581766072395001	0.464251840015635	0.0224815402385492	0.0358627924988029
"pyrophosphate 1"	0.508148807804729	0.228007006710604	0.0149605203309725	0.00596470101551211
"rhamnose 1"	0.360535579342433	0.409413806079573	0.00106904493698293	0.00169926823306305
"serine"	-0.449554613586908	0.736993715019967	0.0657396773322957	0.0559320075913761
"sorbose meox2"	-0.0239722221239905	0.986577790415283	0.0044522367180663	0.0101827023111893
"stearic acid"	-0.381724690174213	0.552485713948343	0.00485632369260391	0.0180494837798936
"succinic acid"	0.755523820441955	0.449215044053545	0.00378396524930842	0.00245608974381594
"threitol 2"	0.739235767791033	0.49033559642508	0.0147263224986448	0.0100352627294675
"threonine"	1.14914738741664	0.435472614953004	0.0329947877500528	0.0139330484409913
"threonine 2TMS"	1.65602179749789	0.437849739345879	0.0237197770525327	0.00396136747321252
"thymine"	1.04563736973463	0.38483432140318	0.0288530413870197	0.0079053695021144
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	0.413718282370571	0.404202029551195	0.012728691392362	0.0186608374308013
"tryosine"	0.362758499487485	0.726615958788347	0.0176753578479292	0.0153886760681664
"tyrosine"	0.393586449488275	0.716270000328703	0.013815723112778	0.0124135378157725
"urea"	0.0825487123737121	0.953092924675234	0.0394796269261424	0.0423272868551424
"valine"	0.353357532939122	0.742495936577674	0.0131262780847972	0.0109299228605156
"valine TMS1x poor spec quality"	1.14374270827252	0.50005343674487	0.0181199057608588	0.00463064035787205
"xanthine"	0.188267231709543	0.87354379315821	0.0574043596791483	0.0554484957635158
"xylose 2"	0.511867837029617	0.326804962233671	0.000500992666755259	0.00146402487773441
