Types	Vimss ID	Upstream				Synonymous				Nonsynonymous				Downstream				EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Is mapped to ortholog
Coding with metabolites	3476138	0	0	0	0	4	5	2	2	0	0	0	0	0	0	0	0	"1.97.1.-,1.97.1.4"	"glutathione , methionine"	"-0.86102358685119 , -1.20413896034235"	"0.398209640847857 , 0.44036680356283"	"0.0273826844129481 , 0.00289600450975022"	"0.0486311964049712 , 0.0404006885738535"		" , Sigma70"	yes
Coding with metabolites	3473797	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	"3.5.1.-,3.5.1.19"	"glutathione , nicotinamide"	"-0.86102358685119 , -0.58528125791222"	"0.398209640847857 , 0.442370218886287"	"0.0273826844129481 , 0.019124579435336"	"0.0486311964049712 , 0.0204846006947885"		" , Sigma70"	yes
Coding with metabolites	3473098	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	"1.1.1.79,1.1.1.81"	"glyceric acid , glyceric acid"	"-0.0789849138420592 , -0.0789849138420592"	"0.948423668519921 , 0.948423668519921"	"0.0464080896611698 , 0.0464080896611698"	"0.0303021322243173 , 0.0303021322243173"			yes
Coding with metabolites	3474248	0	0	0	0	1	0	6	4	0	0	0	0	0	0	0	0	"2.7.1.-,2.7.1.69"	"glyceric acid , mannose-6-phosphate NIST"	"-0.0789849138420592 , -1.95699023422295"	"0.948423668519921 , 0.390699466355439"	"0.0464080896611698 , 0.0186695855359539"	"0.0303021322243173 , 0.0881757158809604"	" , Cra"		yes
Coding with metabolites	3471955	0	0	0	0	10	13	10	10	0	0	0	0	0	0	0	0	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"		" , Sigma70"	yes
Coding with metabolites	3471956	0	0	0	0	4	7	2	1	0	0	0	0	0	0	0	0	2.7.1.39	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726		" , Sigma70"	yes
Coding with metabolites	3474434	0	0	0	0	18	8	10	19	0	0	0	0	0	0	0	0	"1.1.1.3,4.2.1.17,1.1.1.35,5.1.2.3"	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	" , ArcA , FadR"	" , Sigma70"	yes
Coding with metabolites	3476126	0	0	0	0	1	5	1	4	0	0	0	0	0	0	0	1	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	" , MetJ , PhoP , YjiE"		yes
Coding with metabolites	3476201	0	0	2	0	4	2	4	2	0	0	0	0	0	0	1	1	2.3.1.46	homoserine	-0.35930943	0.631998787	0.009302841	0.012862726	" , MetJ"		yes
Coding with metabolites	3471955	0	0	0	0	10	13	10	10	0	0	0	0	0	0	0	0	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"		" , Sigma70"	yes
Coding with metabolites	3476126	0	0	0	0	1	5	1	4	0	0	0	0	0	0	0	1	"1.1.1.3,2.7.2.4"	"homoserine , aspartic acid"	"-0.359309429842608 , 0.378955683136698"	"0.631998786762162 , 0.741513314006951"	"0.00930284126355369 , 0.00983935354076784"	"0.0128627262208111 , 0.0104317442316806"	" , MetJ , PhoP , YjiE"		yes
Coding with metabolites	3475940	0	0	0	0	3	9	10	0	0	0	0	0	0	0	1	0	2.6.1.42	isoleucine	0.045692501	0.968669513	0.028278035	0.029253377	" , IHF , IHF , Lrp"	" , Sigma70"	yes
Coding with metabolites	3473446	0	1	0	1	2	4	4	3	0	0	0	0	0	0	0	0	"1.2.1.21,1.2.1.22"	lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019	" , ArcA , CRP , DnaA , FNR"	" , Sigma70"	yes
Coding with metabolites	3475772	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	1.1.2.3	lactic acid	-1.433456345	0.41002475	0.00196186	0.011486019	" , ArcA , LldR , LldR"	" , Sigma70"	yes
Coding with metabolites	3474291	0	0	0	0	2	2	3	2	0	0	0	0	0	0	0	0	"1.1.5.4,1.1.99.16"	"malic acid , malic acid"	"-0.559340751415306 , -0.559340751415306"	"0.601271781187417 , 0.601271781187417"	"0.000136182815874595 , 0.000136182815874595"	"0.000607322119928488 , 0.000607322119928488"			yes
Coding with metabolites	3474305	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"2.8.3.-,2.8.3.6"	"malic acid , succinic acid"	"-0.559340751415306 , -0.755523820441955"	"0.601271781187417 , 0.449215044053545"	"0.000136182815874595 , 0.00245608974381594"	"0.000607322119928488 , 0.00378396524930842"		" , Sigma54 , Sigma70"	yes
Coding with metabolites	3474784	0	0	0	0	3	1	2	1	0	0	0	0	0	0	0	0	"2.7.1.69,2.7.1.-"	"mannose-6-phosphate NIST , glyceric acid"	"-1.95699023422295 , -0.0789849138420592"	"0.390699466355439 , 0.948423668519921"	"0.0186695855359539 , 0.0464080896611698"	"0.0881757158809604 , 0.0303021322243173"	" , CRP , GutM , GutR , H-NS"		yes
