"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"palmitic acid"	1.39163992037083	0.0388754461670366	0.0131375172265062	0.0129887306114895
"palmitoleic acid"	0.191290413900551	0.841661509435489	0.031862772169311	0.0245739463622085
"pelargonic acid"	1.58649663114936	0.522345759824468	0.0887791866859538	0.0285871163320386
"phenylalanine"	-0.610882318895034	0.626499824797022	0.0304505120659832	0.0259642962121263
"phenylalanine TMS1x"	0.595523003393211	0.60755191501238	0.0348695312131412	0.0548720222344835
"phenylpyruvic acid"	-0.235663207322959	0.679546909406299	0.0118756645653087	0.0419105941590228
"phosphoethanolamine"	-1.1962562172981	0.103226607887404	0.00167127545545354	0.0471298871976808
"phosphoric acid"	0.208458933772811	0.380778246828216	0.00470553894331532	0.0181460161376915
"proline"	0.784881436543183	0.418649302311596	0.0333927094651219	0.0231323255525167
"pseudo uridine"	0.52070782470853	0.568328937029142	0.0311206165053588	0.0246081082711595
"putrescine"	2.02603105612263	0.0950493879036824	0.040185770897553	0.0221698462599892
"putrescine 3TMS"	0.275724470786403	0.274476184932265	0.00653261374525872	0.0169426474757245
"putrescine CO2 adduct"	0.725847094597151	0.259915757548484	0.018888502214899	0.0154651155376522
"pyrazine 2,5-dihydroxy  NIST"	1.04327913211431	0.0460486600907171	0.0148717879822538	0.0262922530766696
"pyrophosphate 1"	1.70855908145092	0.0651663744194025	0.0260768310519026	0.0214710311196787
"rhamnose 1"	-2.03578525461466	0.12980354347272	0.00534092330754124	0.0692352756470747
"serine"	-0.849607516149717	0.159742422748199	0.00763440712462372	0.0455028062949049
"sorbose meox2"	0.124309477270392	0.906793908072458	0.0318117427470521	0.0372949359880061
"stearic acid"	0.794243207338391	0.0186166960700563	0.00534511649589549	0.0109801987699889
"succinic acid"	-1.6710283057347	0.0913733787013772	0.00722510180678695	0.0495592431093561
"threitol 2"	-0.0296229835371927	0.9735326892781	0.0240066891193081	0.0317847131709577
"threonine"	1.42382863259597	0.32141177668848	0.050540369853209	0.0243346014938876
"threonine 2TMS"	1.24985994279966	0.362597766266566	0.0408353582671702	0.0173568396790379
"thymine"	2.23958116790102	0.207002845398792	0.0727703192755993	0.0235781793468653
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	1.55355016572223	0.0225691036495333	0.0164805308061593	0.0237816676886251
"tryosine"	0.443217455545183	0.63931359403289	0.0272671106425497	0.0261027480954931
"tyrosine"	0.0969716102908227	0.910582550984764	0.0226570437951027	0.0328832206906027
"urea"	-0.0957613815048063	0.874673994595884	0.000616197183098591	0.0547618297468253
"valine"	-0.605927117122204	0.396504131604483	0.0151141096160129	0.026167832725506
"valine TMS1x poor spec quality"	0.602254761817897	0.56440527487796	0.0261193416050613	0.0310470834231602
"xanthine"	0.72073178213628	0.61788855307887	0.0582458614067868	0.0423216901399696
"xylose 2"	-2.19734423717407	0.0142792995113609	0.00390536961156845	0.0416711961329766
