"16571"	"0"
"14305"	"1"
"16606"	"0"
"16828"	"0"
"15799"	"3"
"15052"	"0"
"14277"	"0"
"15228"	"2"
"16240"	"0"
"17085"	"2"
"17978"	"0"
"15056"	"0"
"17508"	"0"
"18285"	"0"
"15206"	"1"
"16539"	"0"
"16540"	"0"
"17510"	"6"
"18221"	"1"
"17613"	"1"
"18293"	"1"
"15155"	"1"
"16348"	"0"
"16349"	"5"
"17488"	"2"
"14148"	"1"
"16447"	"5"
"18041"	"5"
"1937119"	"0"
"17666"	"0"
"16318"	"2"
"16562"	"0"
"15184"	"0"
"15886"	"0"
"17996"	"1"
"18279"	"1"
"17703"	"0"
"14590"	"0"
"15373"	"0"
"16370"	"3"
"16129"	"1"
"16694"	"0"
"17981"	"0"
"15311"	"0"
"17889"	"5"
"15206"	"1"
"18221"	"1"
"1937124"	"0"
"18403"	"2"
"14524"	"0"
"15138"	"5"
"1937180"	"0"
"18182"	"1"
"14149"	"0"
"17677"	"1"
"14475"	"1"
"14377"	"0"
"16946"	"1"
"16963"	"1"
