"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"palmitic acid"	-1.4649031859637	0.000298353975074365	0.0022187893451515	0.016687136368934
"palmitoleic acid"	0.495840323191323	0.74159107765782	0.0544827802503365	0.020054751294716
"pelargonic acid"	1.66044657221499	0.314403566305854	0.0547884407490896	0.035449611556692
"phenylalanine"	0.885174097271812	0.550649350216308	0.0529371564784039	0.0211867112746348
"phenylalanine TMS1x"	2.81786841917247	0.317808683598834	0.125200986800431	0.0226466645897404
"phenylpyruvic acid"	-0.812875622558476	0.39279004465452	0.0209796222149714	0.0413011253025806
"phosphoethanolamine"	1.39640020512617	0.595303628102201	0.107166125329865	0.0312340731940315
"phosphoric acid"	-2.06889831812151	0.000394221361136836	0.00499455763114843	0.0161743344764596
"proline"	-0.258935413054673	0.806563041128842	0.0298861571902367	0.024520631134185
"pseudo uridine"	0.58592451186346	0.688563563454269	0.0525203276293678	0.0207167023921247
"putrescine"	-0.83375977244511	0.398723483179965	0.0217955770714196	0.0338813521458055
"putrescine 3TMS"	-0.505408247092935	0.0361456586284438	0.00339828731880923	0.016854835307421
"putrescine CO2 adduct"	0.529733068427802	0.0114300358386212	0.00344000237325571	0.017037399134977
"pyrazine 2,5-dihydroxy  NIST"	-0.340607551266558	0.762039117163378	0.0328357175053733	0.0266821641023661
"pyrophosphate 1"	-2.99684174829732	0.000133999420108108	0.00317014827998604	0.0274942729721165
"rhamnose 1"	3.07466822819482	0.388961708380529	0.177668843422403	0.0168628313130136
"serine"	-1.43615453432776	0.154311941633876	0.0176911329401566	0.0448639348494082
"sorbose meox2"	1.24307086119596	0.194763396535107	0.0316339165986224	0.0353464665521451
"stearic acid"	-1.2636604862482	5.68429433938526e-05	0.00150758150670941	0.0112327179199127
"succinic acid"	-0.337389395456685	0.755146639553408	0.0239038675791119	0.0495280239774059
"threitol 2"	1.60811793632453	0.385866182305452	0.0704864399211233	0.0184362754672069
"threonine"	0.103726232137427	0.941746064891189	0.0413347174698163	0.0292234462832873
"threonine 2TMS"	0.313016015423051	0.653291712702139	0.0172008221877826	0.0228827683140106
"thymine"	0.529166399107269	0.744596293064876	0.0574932982500567	0.0383430188414776
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	-5.13644435981136	2.36214076353343e-05	0.000401243569438417	0.0267420756201269
"tryosine"	0.799517531581718	0.692252918401652	0.065914218755498	0.017605641887445
"tyrosine"	1.44360864069139	0.523315488414023	0.0839329596720483	0.0169064275263745
"urea"	-3.25810497385784	0.0220309167773158	0.0044940370427209	0.053780492394183
"valine"	0.634703557147301	0.560455771635984	0.0353639632408382	0.0239580236642199
"valine TMS1x poor spec quality"	1.18644927053426	0.616820558784957	0.0715420674576761	0.0219472468684492
"xanthine"	-3.36067845429458	0.00252264184466054	0.00428840933035471	0.044952510312375
"xylose 2"	2.20264795629631	0.220495337957911	0.0701713686513295	0.0266773403235304
