"log2(ratio)"	"p-value"	"SD test"	"SD ref"
"palmitoleic acid"	-0.276682248508226	0.754165864389194	0.0287540577355029	0.0253801197280292
"pelargonic acid"	1.02202947935827	0.437223910713878	0.00680716078176739	0.00235031115561979
"phenylalanine"	0.948823329978787	0.484363053233297	0.0235314451867926	0.0206556769922202
"phenylalanine TMS1x"	1.1472151435233	0.525255299545965	0.00601249713000224	0.00220969258229314
"phenylpyruvic acid"	1.50597420457433	0.458100189907382	0.0786687159941295	0.0107219418079616
"phosphoethanolamine"	-0.14051371347835	0.813944708455338	0.00577529899293872	0.00533650902363389
"phosphoric acid"	0.21908402807959	0.584033897176245	0.0166613353448738	0.00501429506792695
"proline"	-0.719374939318103	0.672902352737058	0.0215615278884641	0.0432434291113174
"pseudo uridine"	0.108555432184572	0.815247907809144	0.0100516972614169	0.00125771223110468
"putrescine"	0.0529787958709959	0.953069312272403	0.0319155276209883	0.028316348824127
"putrescine 3TMS"	-0.420527774461692	0.678213778503444	0.00207098207933683	0.0423118424074148
"putrescine CO2 adduct"	0.199321113445838	0.840198878620397	0.0154982362386276	0.0119142183427155
"pyrazine 2,5-dihydroxy  NIST"	0.571487285620785	0.284236870422282	0.0224815402385492	0.0154751572220097
"pyrophosphate 1"	0.0715808550828357	0.812716783355122	0.0149605203309725	0.00405686473395716
"rhamnose 1"	0.199552444978337	0.610405871531635	0.00106904493698293	0.00165627928646396
"serine"	-0.281473799739987	0.866765385635437	0.0657396773322957	0.0785016932878184
"sorbose meox2"	-0.477665031510369	0.573991014624583	0.0044522367180663	0.00635264879952428
"stearic acid"	-0.126486413712553	0.609787599116038	0.00485632369260391	0.00514566794604315
"succinic acid"	1.08943144178062	0.326259976574834	0.00378396524930842	0.00200903286151864
"threitol 2"	1.79044153912126	0.235918027716874	0.0147263224986448	0.00466211614107124
"threonine"	0.256977755367538	0.871101486597372	0.0329947877500528	0.0450837992706261
"threonine 2TMS"	1.93023833656377	0.407468614674509	0.0237197770525327	0.00255796899913922
"thymine"	0.593039545788526	0.544981980196553	0.0288530413870197	0.00295130779211636
"triethylamine, 2-chloro-2'-(trimethyl)silyloxy-"	0.0780353904603264	0.761927848209028	0.012728691392362	0.00378094905865851
"tryosine"	1.04025391662848	0.42340134032839	0.0176753578479292	0.0142846473249754
"tyrosine"	1.12057337368531	0.409326569113903	0.013815723112778	0.0111083138289599
"urea"	-1.39527767659207	0.490964914119294	0.0394796269261424	0.125218474842113
"valine"	0.447483734367603	0.745036476816836	0.0131262780847972	0.0165951098573351
"valine TMS1x poor spec quality"	2.77092015690062	0.327566268856137	0.0181199057608588	0.0012347473284752
"xanthine"	0.778041891161236	0.577309081782054	0.0574043596791483	0.0498223499949309
"xylose 2"	0.410411450875632	0.445708204064358	0.000500992666755259	0.00164294134505579
