"From"	"To"
"LTA"	"uc011gby.1"
"LTA"	"uc011hqx.1"
"LTA"	"uc011ioh.1"
"LTA"	"uc011fdz.1"
"LTA"	"uc011feb.1"
"LTA"	"uc011gbv.1"
"LTA"	"uc003nuf.2"
"LTA"	"uc011jjs.1"
"LTA"	"uc011ioi.1"
"LTA"	"uc011hqz.1"
"LTA"	"uc003nuh.2"
"LTA"	"uc003nug.2"
"LTA"	"uc011jjv.1"
"LTA"	"uc011gyj.1"
"LTA"	"uc011gyh.1"
"LTA"	"uc011jjw.1"
"LTA"	"uc011jjt.1"
"LTA"	"uc011ioj.1"
"LTA"	"uc011gbw.1"
"LTA"	"uc011iof.1"
"LTA"	"uc011gca.1"
"LTA"	"uc011gyf.1"
"LTA"	"uc011jjr.1"
"LTA"	"uc011gbz.1"
"LTA"	"uc011hqu.1"
"LTA"	"uc011gyg.1"
"LTA"	"uc011ioe.1"
"LTA"	"uc010jsr.2"
"LTA"	"uc003nue.1"
"LTA"	"uc008cgu.1"
"LTA"	"uc008cgt.1"
"CLTB"	"uc007qon.1"
"CLTB"	"uc007qoo.1"
"CLTB"	"uc007qom.1"
"CLTB"	"uc003mei.2"
"CLTB"	"uc003meh.2"
"CLTB"	"uc011dfn.1"
"LTB"	"uc008cgq.1"
"LTB"	"uc008cgp.1"
"LTB"	"uc011hrd.1"
"LTB"	"uc011feg.1"
"LTB"	"uc011gym.1"
"LTB"	"uc003nuk.2"
"LTB"	"uc011jka.1"
"LTB"	"uc011gce.1"
"LTB"	"uc011hrc.1"
"LTB"	"uc011emt.1"
"LTB"	"uc011ion.1"
"LTB"	"uc003nul.2"
"LTB"	"uc011ems.1"
"LTB"	"uc011feh.1"
"LTB"	"uc011jjz.1"
"LTB"	"uc011gcd.1"
"LTB"	"uc011iom.1"
"LTB"	"uc011gyn.1"
"METRNL"	"uc002kgi.2"
"METRNL"	"uc002kgh.2"
"METRNL"	"uc007mwd.1"
"P2RX5"	"uc007kaa.1"
"P2RX5"	"uc010vrx.1"
"P2RX5"	"uc002fwd.2"
"P2RX5"	"uc002fwm.1"
"P2RX5"	"uc002fwl.2"
"P2RX5"	"uc002fwh.1"
"P2RX5"	"uc002fwi.2"
"P2RX5"	"uc002fwk.2"
"P2RX5"	"uc002fwj.2"
"PTPRC"	"uc001gut.1"
"PTPRC"	"uc001guu.1"
"PTPRC"	"uc001guq.2"
"PTPRC"	"uc010ppg.1"
"PTPRC"	"uc009wze.1"
"PTPRC"	"uc001guv.1"
"PTPRC"	"uc001gur.1"
"PTPRC"	"uc001guw.1"
"PTPRC"	"uc009wzf.1"
"PTPRC"	"uc001gus.1"
"PTPRC"	"uc007cvj.1"
"PTPRC"	"uc007cvf.1"
"PTPRC"	"uc007cvk.1"
"PTPRC"	"uc007cvh.1"
"PTPRC"	"uc007cvg.1"
"PTPRC"	"uc007cvi.1"
"SPN"	"uc009juh.1"
"SPN"	"uc009jui.1"
"SPN"	"uc002dtm.2"
"SPN"	"uc002dtn.2"
"SPN"	"uc010bzd.2"
"TBX21"	"uc007ldr.1"
"TBX21"	"uc002ilv.1"
"TLR6"	"uc003gtm.2"
"TLR6"	"uc010ifg.1"
"TLR6"	"uc008xmx.2"
"TLR6"	"uc008xmy.2"
"TNFRSF1A"	"uc001qnt.2"
"TNFRSF1A"	"uc010sey.1"
"TNFRSF1A"	"uc010sez.1"
"TNFRSF1A"	"uc009zek.2"
"TNFRSF1A"	"uc010sfa.1"
"TNFRSF1A"	"uc001qnu.2"
"TNFRSF1A"	"uc009dul.1"
"TNFRSF9"	"uc008vya.1"
"TNFRSF9"	"uc008vyc.1"
"TNFRSF9"	"uc008vyb.1"
"TNFRSF9"	"uc001aot.2"
"TRAT1"	"uc010hpx.1"
"TRAT1"	"uc003dxi.1"
"TRAT1"	"uc007zjt.1"
"TRAT1"	"uc007zjs.1"
"TRAT1"	"uc007zjr.1"
"ABP1"	"uc003whz.1"
"ABP1"	"uc003wia.1"
"ABP1"	"uc003why.1"
"ABP1"	"uc009bwb.1"
"ABP1"	"uc009bwa.1"
"B4GALNT4"	"uc009kje.1"
"B4GALNT4"	"uc009kjg.1"
"B4GALNT4"	"uc009kjf.1"
"B4GALNT4"	"uc001lpb.2"
"C2CD4A"	"uc002ahf.3"
"C2CD4B"	"uc002ahg.2"
"C2CD4B"	"uc009qmp.1"
"C2CD4B"	"uc009qmq.1"
"CA2"	"uc003ydk.2"
"CCDC65"	"uc007xnl.1"
"CCDC65"	"uc007xnk.1"
"CCDC65"	"uc001rso.2"
"CEACAM3"	"uc002orn.1"
"CEACAM3"	"uc010eia.1"
"CEACAM3"	"uc002oro.1"
"CHRM3"	"uc001hyp.2"
"CHRM3"	"uc001hyo.1"
"CHRM3"	"uc007plb.1"
"DOC2B"	"uc010vpx.1"
"DOC2B"	"uc007kev.1"
"RNF125"	"uc002kxf.1"
"RNF125"	"uc008eez.1"
"RNF125"	"uc008efa.1"
"F12"	"uc011dfy.1"
"F12"	"uc003mgo.3"
"F12"	"uc010jkl.2"
"F12"	"uc003mgn.3"
"F12"	"uc007qqv.1"
"FURIN"	"uc009iav.1"
"FURIN"	"uc009iau.1"
"FURIN"	"uc002bpu.1"
"GPR25"	"uc001gvn.1"
"IL17A"	"uc003pak.1"
"IL17A"	"uc007aky.1"
"IL17C"	"uc009nso.1"
"IL17C"	"uc002fla.2"
"IL17F"	"uc003pal.1"
"IL17F"	"uc003pam.1"
"IL17F"	"uc007akz.1"
"IL17F"	"uc007ala.1"
"IL17RC"	"uc010hcv.2"
"IL17RC"	"uc003bua.2"
"IL17RC"	"uc010hcu.2"
"IL17RC"	"uc011atq.1"
"IL17RC"	"uc003btz.2"
"IL17RC"	"uc003bue.2"
"IL17RC"	"uc010hcs.2"
"IL17RC"	"uc011ato.1"
"IL17RC"	"uc011atp.1"
"IL17RC"	"uc010hcr.2"
"IL17RC"	"uc003bub.2"
"IL17RC"	"uc010hct.2"
"IL17RC"	"uc003bud.2"
"IL17RC"	"uc003buc.2"
"IL17RC"	"uc009dgk.1"
"IL17RC"	"uc009dgl.1"
"IL17RC"	"uc009dgm.1"
"IL17RE"	"uc009dgg.1"
"IL17RE"	"uc009dgj.1"
"IL17RE"	"uc009dgi.1"
"IL17RE"	"uc009dgh.1"
"IL17RE"	"uc003btx.2"
"IL17RE"	"uc010hcq.2"
"IL17RE"	"uc003btw.2"
"IL17RE"	"uc003btu.2"
"IL17RE"	"uc011atn.1"
"IL17RE"	"uc003bty.2"
"IL17RE"	"uc003btv.2"
