"From"	"To"
"STAP1"	"uc008xxh.1"
"TAGAP"	"uc003qsb.2"
"TAGAP"	"uc003qsa.2"
"TAGAP"	"uc003qrz.2"
"TAGAP"	"uc011eft.1"
"TAGAP"	"uc008aia.1"
"TAGAP"	"uc008dwy.1"
"TAGAP"	"uc008air.1"
"TXNIP"	"uc008qnc.1"
"TXNIP"	"uc008qnd.1"
"TXNIP"	"uc001enm.1"
"TXNIP"	"uc010oys.1"
"TXNIP"	"uc001enn.3"
"ZCCHC2"	"uc002lio.2"
"ZCCHC2"	"uc002lip.3"
"ZCCHC2"	"uc002liq.2"
